threshold,precision,recall,f1,predicted_vulnerabilities
0.01,0.04986312660053572,0.9906432748538012,0.09494717372418239,33973
0.02,0.052479052479052476,0.9742690058479532,0.09959349593495935,31746
0.03,0.05466216216216216,0.9461988304093567,0.10335356116256787,29600
0.04,0.05653342892991575,0.9222222222222223,0.10653605809829421,27895
0.05,0.0583617747440273,0.9,0.10961538461538461,26370
0.06,0.06015606338084242,0.8836257309941521,0.11264350678395706,25118
0.07,0.061689930209371885,0.868421052631579,0.11519664882476147,24072
0.08,0.06287567567567567,0.8502923976608188,0.11709281256291525,23125
0.09,0.06372811718470882,0.8345029239766082,0.1184134096755456,22392
0.1,0.06477005938406298,0.8228070175438597,0.12008705671488926,21723
0.11,0.06536534644106248,0.8087719298245614,0.12095504635298233,21158
0.12,0.06616862326574173,0.7976608187134503,0.12220032252284536,20614
0.13,0.06698089804018854,0.7894736842105263,0.12348502172421678,20155
0.14,0.06757852077001013,0.7801169590643274,0.12438228438228438,19740
0.15,0.06812200030964545,0.7719298245614035,0.12519561815336464,19377
0.16,0.06896008403361345,0.7678362573099415,0.12655421686746987,19040
0.17,0.06972388698630137,0.7619883040935672,0.1277576232964016,18688
0.18,0.0705593451568895,0.756140350877193,0.1290741202894934,18325
0.19,0.07108741530600911,0.7485380116959064,0.12984378170014202,18006
0.2,0.07167851902020544,0.7426900584795322,0.13073913938645254,17718
0.21,0.07226080468346438,0.7362573099415205,0.13160508022787853,17423
0.22,0.07293553854245807,0.7298245614035088,0.13261782051963233,17111
0.23,0.0731547619047619,0.7187134502923976,0.13279308481901675,16800
0.24,0.07399756986634265,0.712280701754386,0.1340671436433682,16460
0.25,0.07448130202509629,0.7011695906432749,0.1346585804132974,16098
0.26,0.07561581057857553,0.6947368421052632,0.1363871189943172,15711
0.27,0.07635227494629955,0.6859649122807018,0.1374099455280267,15363
0.28,0.07695895522388059,0.6754385964912281,0.13817442277784425,15008
0.29,0.077843083652269,0.6660818713450293,0.13939542283686207,14632
0.3,0.07842862153630305,0.6538011695906433,0.14005637331663012,14255
0.31,0.07931581986143187,0.6426900584795322,0.14120519080046254,13856
0.32,0.07989919952564482,0.6304093567251462,0.14182344428364688,13492
0.33,0.08025302949470314,0.6157894736842106,0.14199986514732654,13121
0.34,0.08104924212675725,0.6035087719298246,0.1429065983521429,12733
0.35,0.08163926459868794,0.5894736842105263,0.14341609162694743,12347
0.36,0.0829145728643216,0.5789473684210527,0.14505494505494507,11940
0.37,0.08395296558879474,0.5678362573099415,0.14627899969870442,11566
0.38,0.08408031552527788,0.5485380116959064,0.1458106637649619,11156
0.39,0.08508071998515494,0.5362573099415204,0.1468609865470852,10778
0.4,0.0855686953177579,0.52046783625731,0.14697382544793988,10401
0.41,0.08696087261082758,0.508187134502924,0.14850892933435872,9993
0.42,0.0884162235429048,0.495906432748538,0.15007521458278028,9591
0.43,0.08977012746486546,0.4818713450292398,0.15134539443475067,9179
0.44,0.09114851711897401,0.4654970760233918,0.15244661495738773,8733
0.45,0.09143130684538056,0.44678362573099417,0.15179813232664416,8356
0.46,0.09306387225548902,0.43625730994152045,0.15340324902323668,8016
0.47,0.09423808898805618,0.4198830409356725,0.15392860971165184,7619
0.48,0.09494809688581315,0.40116959064327484,0.1535534415221041,7225
0.49,0.0967741935483871,0.3894736842105263,0.15502793296089384,6882
0.5,0.09904153354632587,0.38070175438596493,0.15718942412169504,6573
0.51,0.10057379662097546,0.3690058479532164,0.15806613226452906,6274
0.52,0.10142977291841884,0.3526315789473684,0.15754408883082952,5945
0.53,0.10397175639894086,0.34444444444444444,0.15972881355932203,5665
0.54,0.10483118821115464,0.3286549707602339,0.15895912883609106,5361
0.55,0.1054710645862137,0.312280701754386,0.15768492543924406,5063
0.56,0.10605427974947808,0.2970760233918129,0.15630769230769231,4790
0.57,0.10901001112347053,0.28654970760233917,0.1579371474617244,4495
0.58,0.11092754307292896,0.27485380116959063,0.15806288885152178,4237
0.59,0.114214463840399,0.26783625730994154,0.16013986013986015,4010
0.6,0.1163101604278075,0.2543859649122807,0.1596330275229358,3740
0.61,0.11841359773371105,0.24444444444444444,0.15954198473282444,3530
0.62,0.12035077109162383,0.2327485380116959,0.15866055411600558,3307
0.63,0.12249515190691661,0.2216374269005848,0.15778517901748543,3094
0.64,0.12390924956369982,0.20760233918128654,0.1551912568306011,2865
0.65,0.1262683201803833,0.19649122807017544,0.15374056280027454,2661
0.66,0.12791172864732325,0.18304093567251462,0.15058936733221073,2447
0.67,0.13259911894273127,0.1760233918128655,0.15125628140703518,2270
0.68,0.13285714285714287,0.1631578947368421,0.14645669291338584,2100
0.69,0.13659793814432988,0.15497076023391812,0.14520547945205478,1940
0.7,0.1404867256637168,0.14853801169590644,0.14440022740193292,1808
0.71,0.1404460518384569,0.13625730994152047,0.13831997625408132,1659
0.72,0.1411917098445596,0.12748538011695906,0.13398893669330056,1544
0.73,0.14275814275814275,0.12046783625730995,0.13066920393276246,1443
0.74,0.14328582145536384,0.11169590643274854,0.12553401248767662,1333
0.75,0.14524207011686144,0.10175438596491228,0.11966987620357634,1198
0.76,0.15181818181818182,0.0976608187134503,0.11886120996441281,1100
0.77,0.1550695825049702,0.0912280701754386,0.11487481590574374,1006
0.78,0.1534216335540839,0.08128654970760234,0.10626911314984709,906
0.79,0.15270935960591134,0.07251461988304093,0.09833465503568596,812
0.8,0.1539491298527443,0.06725146198830409,0.0936100936100936,747
0.81,0.15532544378698224,0.06140350877192982,0.08801341156747695,676
0.82,0.15833333333333333,0.05555555555555555,0.08225108225108226,600
0.83,0.15134099616858238,0.046198830409356725,0.07078853046594982,522
0.84,0.14556962025316456,0.04035087719298246,0.06318681318681318,474
0.85,0.14754098360655737,0.03684210526315789,0.058961160505381374,427
0.86,0.1488095238095238,0.029239766081871343,0.04887585532746823,336
0.87,0.16376306620209058,0.027485380116959064,0.04707060590886329,287
0.88,0.15948275862068967,0.021637426900584796,0.03810504634397528,232
0.89,0.18652849740932642,0.021052631578947368,0.03783499737256963,193
0.9,0.19463087248322147,0.01695906432748538,0.031199569661108123,149
0.91,0.19827586206896552,0.013450292397660818,0.025191675794085433,116
0.92,0.24358974358974358,0.011111111111111112,0.021252796420581657,78
0.93,0.32075471698113206,0.009941520467836258,0.019285309132161088,53
0.94,0.32,0.004678362573099415,0.009221902017291067,25
0.95,0.14285714285714285,0.0005847953216374269,0.0011648223645894002,7
0.96,0.3333333333333333,0.0005847953216374269,0.0011675423234092236,3
0.97,0.3333333333333333,0.0005847953216374269,0.0011675423234092236,3
0.98,0.0,0.0,0.0,0
0.99,0.0,0.0,0.0,0
